"File Number","Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"11964882","THE GLENWOOD OF GAINESVILLE","GAINESVILLE","Alachua","110","2","1","$0.00","0","0","0","0","0","0","1","Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","1","Memory Care"
"11964885","JESUS HOME CARE INC","MIAMI","Miami-Dade","6","1","2","$1,150.00","24","0","0","21","0","3","1","None","3","Arts and Crafts|Exercise Classes|Games/Cards","NR","NR"
"11964887","CORAL SAND INC","MIAMI BEACH","Miami-Dade","30","3","3","$66,000.00","39","0","8","30","1","0","1","None","3","Arts and Crafts|Social Events/Outings|Theater and Movies","NR","NR"
"11964889","ARBOR COVE ALF OF FLORIDA, INC","ORLANDO","Orange","12","0","5","$7,500.00","20","0","0","20","0","0","1","Direct 24hr","4","Arts and Crafts|Games/Cards|Social Events/Outings|Theater and Movies","4","Massage Therapy/Spa|Occupational Therapy|Physical Therapy|Speech Therapy"
"11964897","CELEBRATION VILLA OF DEER CREEK","DEERFIELD BEACH","Broward","168","3","2","$500.00","15","0","0","14","0","1","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","1","Memory Care"
"11964899","ST JOSEPH ALF","MIAMI","Miami-Dade","6","0","1","$500.00","9","0","0","9","0","0","1","None","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","1","Other"
"11964912","BROOKDALE SOUTHPOINT","JACKSONVILLE","Duval","102","0","0","$0.00","3","0","0","3","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"11964914","CARLISLE NAPLES","NAPLES","Collier","125","2","1","$1,000.00","9","0","0","7","1","1","1","Direct 24hr","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","5","Audiology|Occupational Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"11964916","BROOKDALE WEST BOYNTON BEACH","BOYNTON BEACH","Palm Beach","167","1","1","$500.00","12","0","2","9","0","1","2","Direct 24hr|Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","2","Memory Care|Pet Therapy"
"11964920","A HOME AWAY FROM HOME ALF INC","MIAMI","Miami-Dade","6","1","7","$12,000.00","42","0","3","37","0","2","1","None","1","Games/Cards","NR","NR"
"11964922","PACIFICA SENIOR LIVING OF PALM BEACH","GREENACRES","Palm Beach","98","3","4","$2,000.00","6","0","0","4","1","1","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11964923","HAINAT, INC","MIAMI","Miami-Dade","6","1","2","$5,200.00","6","0","1","4","0","1","1","3rd Party Part-Time","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"11964927","RICHLAND RETIREMENT HOME LLC","MIAMI","Miami-Dade","14","1","1","$0.00","6","0","0","5","0","1","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings","1","Speech Therapy"
