"File Number","Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"11910002","AGUILA ADULT CARE CENTER","TAMPA","Hillsborough","10","0","1","$400.00","2","0","0","2","0","0","1","None","6","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping","NR","NR"
"11910003","BETHEDSA OAKS ALF, LLC","PLANT CITY","Hillsborough","16","1","0","$0.00","2","0","0","2","0","0","2","Direct Part-Time|3rd Party Part-Time","3","Arts and Crafts|Games/Cards|Social Events/Outings","NR","NR"
"11910005","BROOKDALE BAYSHORE","TAMPA","Hillsborough","190","3","6","$8,000.00","14","0","0","12","0","2","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"11910011","VILLA AT CARPENTERS (THE)","LAKELAND","Polk","52","1","0","$0.00","8","0","0","8","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910033","CONCORDIA VILLAGE OF TAMPA","TAMPA","Hillsborough","175","4","3","$7,000.00","13","0","0","12","0","1","2","Direct 24hr|Direct Part-Time","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","8","Audiology|Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"11910038","RENAISSANCE OF NORTH TAMPA","TAMPA","Hillsborough","135","10","1","$0.00","16","0","0","14","0","2","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"11910043","THE PAVILION OF EAST TAMPA","TAMPA","Hillsborough","135","13","6","$11,500.00","28","0","3","22","0","3","1","3rd Party 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"11910048","BROOKDALE PALMA SOLA","BRADENTON","Manatee","160","3","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Occupational Therapy"
"11910052","LAKE HOWARD HEIGHTS","WINTER HAVEN","Polk","65","1","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"11910053","GRACE MANOR AT LAKE MORTON, LLC","LAKELAND","Polk","50","4","0","$0.00","1","0","0","1","0","0","2","Direct Part-Time|3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","1","Memory Care"
"11910054","SUN TOWERS RETIREMENT COMMUNITY","SUN CITY CENTER","Hillsborough","286","1","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"11910068","NEW HORIZON SHARE HOME","WINTER HAVEN","Polk","60","1","0","$0.00","2","0","0","1","0","1","1","3rd Party 24hr","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Pet Therapy|Physical Therapy"
"11910071","OAKLAND MANOR","TAMPA","Hillsborough","32","1","0","$0.00","9","0","0","8","0","1","1","3rd Party 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Other"
"11910074","RUBY'S RESIDENTIAL CARE INC","TAMPA","Hillsborough","10","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11910082","BETHESDA FOUNTAIN ALF, LLC","PLANT CITY","Hillsborough","42","2","0","$0.00","14","0","0","12","0","2","1","Direct Part-Time","4","Arts and Crafts|Games/Cards|Social Events/Outings|Theater and Movies","NR","NR"
"11910085","THE PALMS AT SEBRING ASSISTED LIVING","SEBRING","Highlands","141","4","4","$7,500.00","21","0","1","18","0","2","1","Direct 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Audiology|Occupational Therapy|Physical Therapy|Speech Therapy"
"11910091","SUNBURST COMMUNITY CARE-LAKELAND HILLS LLC","LAKELAND","Polk","95","3","0","$0.00","2","0","0","2","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11910092","ANGELS SENIOR LIVING AT NORTH TAMPA","TAMPA","Hillsborough","98","1","0","$0.00","0","0","0","0","0","0","1","3rd Party 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"11910096","SUMMERFIELD RETIREMENT","BRADENTON","Manatee","142","8","0","$0.00","11","0","0","11","0","0","NR","NR","NR","NR","NR","NR"
"11910101","LAKELAND MANOR ALF","LAKELAND","Polk","60","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910104","WEDGEWOOD OF WINTER HAVEN INC","WINTER HAVEN","Polk","18","0","1","$500.00","3","0","0","1","0","2","1","None","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","2","Massage Therapy/Spa|Pet Therapy"
"11910105","PRESBYTERIAN RETIREMENT COMMUNITIES INC D.B.A. WESTMINSTER BRADENTON","BRADENTON","Manatee","117","4","0","$0.00","8","0","0","8","0","0","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","6","Audiology|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910106","PRESBYTERIAN RETIREMENT COMMUNITIES, INC D.B.A. WESTMINSTER BRADENTON","BRADENTON","Manatee","79","5","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","11","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","4","Audiology|Occupational Therapy|Physical Therapy|Speech Therapy"
"11910115","CASCADE HEIGHTS","LONGWOOD","Seminole","75","0","0","$0.00","8","0","0","7","1","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies|Yoga","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"11910117","HARMONY RETIREMENT LIVING, INC","ORLANDO","Orange","16","2","7","$9,000.00","19","0","1","16","1","1","1","Direct 24hr","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Theater and Movies","1","Pet Therapy"
"11910124","RIVERVIEW RETIREMENT CENTER","TITUSVILLE","Brevard","27","0","0","$0.00","5","0","0","4","0","1","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"11910126","GRAND VILLA OF ALTAMONTE SPRINGS","ALTAMONTE SPRINGS","Seminole","180","13","7","$30,100.00","25","1","4","16","1","3","NR","NR","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"11910134","VILLAGE ON THE ISLE","VENICE","Sarasota","85","1","1","$500.00","9","0","0","8","1","0","1","Direct 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910140","ROYAL GARDENS OF ST CLOUD, LLC","SAINT CLOUD","Osceola","33","0","0","$0.00","0","0","0","0","0","0","1","None","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Other","NR","NR"
"11910145","SANDPIPER ALF","SAINT PETERSBURG","Pinellas","16","3","1","$5,500.00","5","0","1","2","0","2","1","3rd Party Part-Time","5","Arts and Crafts|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11910160","AZALEA MANOR","SAINT PETERSBURG","Pinellas","20","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","8","Arts and Crafts|Dancing|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11910193","EMERALD COURT RETIREMENT RESIDENCES","PINELLAS PARK","Pinellas","90","5","1","$3,500.00","9","0","0","9","0","0","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings","1","Memory Care"
"11910197","CURLEW CARE OF CLEARWATER","CLEARWATER","Pinellas","26","0","4","$1,500.00","3","0","0","3","0","0","1","3rd Party 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"11910204","AVIATA AT LAKESIDE OAKS VILLAS","DUNEDIN","Pinellas","24","0","2","$1,500.00","36","0","0","33","0","3","1","3rd Party Part-Time","5","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"11910231","GREENBRIAR MANOR  LLC","SEMINOLE","Pinellas","12","1","1","$0.00","2","0","0","2","0","0","1","None","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11910247","SALTERRA SENIOR LIVING AT LARGO","LARGO","Pinellas","143","12","4","$2,500.00","23","0","0","20","0","3","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"11910251","INDIAN OAKS","LARGO","Pinellas","52","4","0","$0.00","18","0","0","16","0","2","1","3rd Party Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910252","INN AT FREEDOM SQUARE (THE)","SEMINOLE","Pinellas","200","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","6","Audiology|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910258","BROOKDALE NEW PORT RICHEY","NEW PORT RICHEY","Pasco","242","13","5","$9,000.00","26","0","0","26","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"11910267","BROOKDALE CHAMBREL PINECASTLE","OCALA","Marion","180","2","0","$0.00","4","0","0","4","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","7","Audiology|Massage Therapy/Spa|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"11910278","HAWTHORNE INN OF OCALA","OCALA","Marion","44","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"11910281","LAKE PORT SQUARE INN","LEESBURG","Lake","40","0","0","$0.00","3","0","0","3","0","0","1","Direct Part-Time","9","Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Yoga|Other","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"11910284","MINNEOLA PLACE, A HOMEBRIDGE COMMUNITY ASSISTED LIVING","MINNEOLA","Lake","32","1","0","$0.00","1","0","0","1","0","0","1","3rd Party 24hr","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Theater and Movies","1","Pet Therapy"
"11910289","PLANTATION ON SUMMERS LLC (THE)","LAKE CITY","Columbia","64","3","0","$0.00","2","0","0","2","0","0","1","None","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","NR","NR"
"11910299","GROVES AT ALLIANCE COMMUNITY (THE)","DELAND","Volusia","54","0","0","$0.00","2","0","0","2","0","0","1","Direct 24hr","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11910300","ARLINGTON ADULT RESIDENTIAL FACILITY INC","JACKSONVILLE","Duval","100","0","2","$6,000.00","4","0","1","3","0","0","1","None","4","Arts and Crafts|Games/Cards|Social Events/Outings|Theater and Movies","NR","NR"
"11910307","CORAL LANDING","SAINT AUGUSTINE","St. Johns","60","1","1","$0.00","2","0","0","2","0","0","2","Direct Part-Time|3rd Party 24hr","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies|Other","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910310","COUNTRYSIDE LAKES","PORT ORANGE","Volusia","120","0","3","$500.00","1","0","0","1","0","0","1","Direct Part-Time","12","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","NR","NR"
"11910312","DAYSPRING VILLAGE, INC","HILLIARD","Nassau","126","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","NR","NR"
"11910317","GUARDIAN HOME II ALF LLC","NEW SMYRNA BEACH","Volusia","11","0","0","$0.00","14","0","0","13","0","1","2","Direct 24hr|3rd Party Part-Time","4","Arts and Crafts|Games/Cards|Shopping|Theater and Movies","NR","NR"
"11910323","L'ARCHE JACKSONVILLE, INC. I","JACKSONVILLE","Duval","5","0","1","$500.00","4","0","0","4","0","0","1","Direct Part-Time","5","Dancing|Gardening|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11910325","L'ARCHE JACKSONVILLE, INC II","JACKSONVILLE","Duval","6","0","0","$0.00","1","0","0","1","0","0","1","Direct Part-Time","3","Dancing|Shopping|Social Events/Outings","NR","NR"
"11910326","L'ARCHE JACKSONVILLE, INC. III","JACKSONVILLE","Duval","7","0","0","$0.00","6","0","0","6","0","0","1","Direct Part-Time","5","Cooking Classes|Dancing|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11910336","GRAND VILLA OF ORMOND BEACH","ORMOND BEACH","Volusia","115","1","0","$0.00","2","0","0","2","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"11910337","INDIGO PALMS AT THE MANOR","DAYTONA BEACH","Volusia","50","4","1","$1,000.00","12","0","0","9","0","3","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Pet Therapy"
"11910339","PARK OF THE PALMS, INC","KEYSTONE HEIGHTS","Clay","40","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"11910349","WESTMINSTER WOODS ON JULINGTON CREEK","JACKSONVILLE","St. Johns","80","0","0","$0.00","3","0","0","3","0","0","1","Direct 24hr","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","6","Audiology|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910357","PARKSIDE INN","BOYNTON BEACH","Palm Beach","38","3","2","$2,500.00","13","0","0","8","2","3","2","Direct Part-Time|3rd Party 24hr","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","1","Memory Care"
"11910367","CRESTHAVEN","WEST PALM BEACH","Palm Beach","308","20","3","$28,600.00","17","1","2","12","1","1","1","Direct Part-Time","7","Arts and Crafts|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"11910371","OAKBRIDGE TERRACE ASSISTED LIV RES - EDGEWATER AT BOCA POINTE","BOCA RATON","Palm Beach","51","0","2","$10,000.00","10","0","0","3","3","4","2","Direct 24hr|Direct Part-Time","4","Arts and Crafts|Exercise Classes|Shopping|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"11910374","WINDSOR COURT","WEST PALM BEACH","Palm Beach","92","5","2","$200.00","8","0","0","6","2","0","1","3rd Party 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Other","1","Memory Care"
"11910377","GRAND VILLA OF DELRAY EAST","DELRAY BEACH","Palm Beach","200","1","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"11910382","THE MERIDIAN AT LANTANA","LANTANA","Palm Beach","104","5","3","$21,000.00","14","2","0","6","4","2","2","Direct Part-Time|3rd Party 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","3","Audiology|Occupational Therapy|Physical Therapy"
"11910385","TROPICAL GARDEN VILLAS","LAKE WORTH","Palm Beach","12","1","1","$0.00","7","0","0","6","0","1","1","3rd Party Part-Time","6","Arts and Crafts|Exercise Classes|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11910386","COLONIAL ASSISTED LIVING AT WEST PALM BEACH FL","WEST PALM BEACH","Palm Beach","152","2","2","$20,500.00","5","2","0","3","0","0","2","Direct Part-Time|3rd Party 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","3","Occupational Therapy|Pet Therapy|Physical Therapy"
"11910396","OAKBRIDGE TERRACE ASSISTED LIVING AT INDIAN RIVER ESTATES","VERO BEACH","Indian River","100","0","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"11910406","CRESTVIEW MANOR","CRESTVIEW","Okaloosa","65","1","1","$1,000.00","4","0","0","4","0","0","1","None","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11910412","SUN BAY MANOR","MIAMI","Miami-Dade","8","0","3","$3,000.00","6","0","0","6","0","0","1","3rd Party 24hr","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"11910413","SUN BAY MANOR II","MIAMI","Miami-Dade","6","1","1","$775.00","9","0","0","7","0","2","1","3rd Party 24hr","5","Arts and Crafts|Dancing|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"11910415","SUN VILLAGE HOMES INC","HIALEAH","Miami-Dade","29","0","3","$4,000.00","4","0","0","4","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Games/Cards|Gardening|Music Programs|Social Events/Outings","NR","NR"
"11910416","SWANKRIDGE, INC.","HOMESTEAD","Miami-Dade","12","0","0","$0.00","22","0","0","22","0","0","1","Direct 24hr","NR","NR","NR","NR"
"11910419","SAINT JUDE ADULT CARE CORP.","MIAMI","Miami-Dade","6","0","0","$0.00","6","0","0","6","0","0","1","None","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910431","ELEVATED ESTATES OF BROOKSVILLE, LLC","BROOKSVILLE","Hernando","135","4","8","$31,000.00","1","0","0","0","0","1","2","Direct 24hr|3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings","1","Memory Care"
"11910470","THE WATERFORD AT CARPENTER'S CREEK","PENSACOLA","Escambia","105","3","0","$0.00","4","0","0","4","0","0","1","Direct Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910473","CARING VILLAGE AT FOREST GLEN, LLC","NEW PORT RICHEY","Pasco","76","6","5","$3,500.00","29","0","0","24","0","5","1","None","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910478","THE BARCLAY AT PASADENA","SAINT PETERSBURG","Pinellas","175","18","5","$6,000.00","24","0","0","22","0","2","1","Direct 24hr","12","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","7","Audiology|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Other"
"11910484","ANTHURIUM (THE)","LEHIGH ACRES","Lee","10","0","1","$400.00","1","0","0","0","0","1","1","None","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","NR","NR"
"11910486","MERRILL GARDENS AT BARKLEY PLACE","FORT MYERS","Lee","64","2","1","$24,000.00","9","3","0","6","0","0","NR","NR","NR","NR","NR","NR"
"11910496","KIVA AT CANTERBURY, LLC","BONITA SPRINGS","Collier","38","1","0","$0.00","0","0","0","0","0","0","1","None","6","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","1","Memory Care"
"11910504","NEUROINTERNATIONAL HEALTHCARE, LLC","SARASOTA","Sarasota","16","5","0","$0.00","2","0","0","0","2","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Massage Therapy/Spa|Occupational Therapy|Physical Therapy|Speech Therapy"
"11910518","HARBORVIEW ACRES INC","PORT CHARLOTTE","Charlotte","25","0","0","$0.00","0","0","0","0","0","0","1","3rd Party 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","2","Pet Therapy|Physical Therapy"
"11910532","CAPE CHATEAU 2 ALF LLC","FORT MYERS","Lee","19","3","3","$1,550.00","29","0","0","23","4","2","1","None","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"11910533","BROOKDALE PHILLIPPI CREEK","SARASOTA","Sarasota","127","8","8","$13,000.00","13","0","0","11","0","2","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"11910541","SUMMER'S LANDING, LLC","LYNN HAVEN","Bay","50","5","3","$15,000.00","16","0","2","13","0","1","1","3rd Party 24hr","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Audiology|Occupational Therapy|Physical Therapy|Speech Therapy|Other"
"11910546","LIBERTY OAKS ALF LLC","BRISTOL","Liberty","45","2","2","$6,500.00","20","0","1","17","0","2","1","None","1","Arts and Crafts","NR","NR"
"11910547","WESTMINSTER OAKS","TALLAHASSEE","Leon","120","4","0","$0.00","3","0","0","2","0","1","1","Direct 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","6","Audiology|Massage Therapy/Spa|Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"11910568","GARDEN VIEW ALF","PANAMA CITY","Bay","40","4","2","$25,000.00","11","2","1","8","0","0","1","None","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"11910608","PEMBROOK PLACE II ALF","CLEARWATER","Pinellas","12","1","2","$500.00","0","0","0","0","0","0","1","Direct 24hr","4","Games/Cards|Music Programs|Shopping|Theater and Movies","NR","NR"
"11910622","HERITAGE HOUSE ASSISTED LIVING FACILITY","CLEARWATER","Pinellas","24","2","3","$8,000.00","19","0","1","16","0","2","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"11910625","NEW HORIZON SENIOR CITIZEN HOME","INVERNESS","Citrus","68","1","0","$0.00","0","0","0","0","0","0","2","Direct Part-Time|3rd Party Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910627","SOMERSET","TAVARES","Lake","60","1","1","$0.00","3","0","0","2","0","1","1","Direct Part-Time","12","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","1","Memory Care"
"11910630","FINNISH-AMERICAN VILLAGE","LAKE WORTH","Palm Beach","120","1","0","$0.00","0","0","0","0","0","0","2","Direct Part-Time|3rd Party 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Audiology|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
